item_group,item_category,item,item_group,item_category,item,item_code
BARANGAN BERBUNGKUS,SANTAN (KOTAK),SANTAN KELAPA JENAMA HARMUNI,1,1,1,1
BARANGAN BERBUNGKUS,SANTAN (KOTAK),SANTAN KELAPA JENAMA KARA,1,1,1,1
BARANGAN BERBUNGKUS,SANTAN (KOTAK),SANTAN KELAPA JENAMA M&S,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),BUTTERLITE (LEPA SUSU ISTIMEWA),1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),JEM STRAWBERI LADY'S CHOICE,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),KRAFT DAIRYLEA SINGLES CHEESE 12 SLICES,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),LEPAAN BUTTERCUP,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),LEPAAN FARMCOWS,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MARJERIN DAISY,1,1,1,2
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MARJERIN PLANTA,1,1,1,2
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MAYONIS SEBENAR LADY'S CHOICE,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MENTEGA KACANG HALUS LADY'S CHOICE,1,1,1,2
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),SERI KAYA YEO'S,1,1,1,1
BARANGAN BERBUNGKUS,TEPUNG,TEPUNG BERAS (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,TEPUNG,TEPUNG GANDUM GP (BERBUNGKUS) PELBAGAI JENAMA,1,1,1,1
BARANGAN BERBUNGKUS,TEPUNG,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP  FAIZA)",1,1,1,1
BARANGAN BERBUNGKUS,TEPUNG,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP MUHIBAH)",1,1,1,1
BARANGAN BERBUNGKUS,TEPUNG,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1,1,1,1
BARANGAN BERBUNGKUS,TEPUNG,TEPUNG JAGUNG (PELBAGAI JENAMA),1,1,1,1
BARANGAN BERBUNGKUS,TEPUNG,TEPUNG NAIK SENDIRI CAP 'BLUE KEY',1,1,1,1
BARANGAN BERBUNGKUS,TEPUNG,TEPUNG PULUT (PELBAGAI JENAMA),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG BESAR IMPORT (CHINA),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG BESAR IMPORT (INDIA),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG BESAR IMPORT (PAKISTAN),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG BESAR KUNING/HOLLAND,1,1,1,1
BARANGAN KERING,BAWANG,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG KECIL MERAH IMPORT (CHINA),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG KECIL MERAH IMPORT (HOLLAND),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG KECIL MERAH IMPORT (MYANMAR),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG KECIL MERAH IMPORT (THAILAND),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1,1,1,1
BARANGAN KERING,BAWANG,BAWANG PUTIH IMPORT (CHINA),1,1,1,1
BARANGAN KERING,CILI KERING,CILI KERING KERINTING (BERTANGKAI/TIDAK BERTANGKAI),1,1,1,1
BARANGAN KERING,CILI KERING,CILI KERING LEPER (BERTANGKAI/TIDAK BERTANGKAI),1,1,1,1
BARANGAN KERING,HASIL LAUT KERING,IKAN BILIS GRED B (KOPEK),1,1,1,1
BARANGAN KERING,HASIL LAUT KERING,SOTONG KERING (SAIZ SERDAHANA),1,1,1,1
BARANGAN KERING,HASIL LAUT KERING,UDANG KERING,1,1,1,1
BARANGAN KERING,KACANG,KACANG DAL (AUSTRALIA),1,1,1,1
BARANGAN KERING,KACANG,KACANG DAL BIASA (INDIA),1,1,1,1
BARANGAN KERING,KACANG,KACANG DAL MALAVI (INDIA),1,1,1,1
BARANGAN KERING,KACANG,KACANG HIJAU (IMPORT),1,1,1,1
BARANGAN KERING,KACANG,KACANG MERAH (IMPORT),1,1,1,1
