item_group,item_category,item,item_code,unit,item_group,item_category,item,item_code,unit
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),PERENCAH NASI GORENG IKAN BILIS SERI AJI,1545,26G,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),PERENCAH TOM YAM ADABI,1153,40 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CABAI ALAGAPPAS,1881,230g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CILI BABAS,364,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CILI KIJANG,1125,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI AYAM DAN DAGING ADABI,1570,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI DAGING ALAGAPPAS,1571,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI DAGING ALAGAPPAS,1839,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI DAGING BABAS,1572,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN ADABI,1568,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN ALAGAPPAS,1569,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN ALAGAPPAS,1838,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN BABAS,350,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI KURMA ALAGAPPAS,1576,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT ALAGAPPAS,1924,230g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT BABAS,367,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,365,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KURMA AYAM & DAGING ADABI,1573,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KURMA BABAS,1575,125 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK NASI GORENG CINA ADABI,1544,17 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK PERENCAH SUP ADABI,1577,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK REMPAH SUP MAK SITI,1578,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK SUP FAIZA,1579,220 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SUP BUNJUT ADABI,360,8 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SUP PUNJUT MAK SITI,361,10 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BIJI KETUMBAR,870,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BIJI SAWI,869,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUAH KERAS,867,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUAH PALA,868,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUAH PELAGA,866,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUNGA CENGKIH,864,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),BUNGA LAWANG,865,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),HALBA,896,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),JINTAN MANIS (KASAR),863,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),KULIT KAYU MANIS,343,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),LADA HITAM,871,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),LADA PUTIH,873,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),REMPAH KURMA (TIDAK BERBUNGKUS),346,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),REMPAH SUP (TIDAK BERBUNGKUS),347,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),SERBUK CILI  (TIDAK BERBUNGKUS),155,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),SERBUK KARI DAGING (TIDAK BERBUNGKUS),1567,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),SERBUK KARI IKAN (TIDAK BERBUNGKUS),1566,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),SERBUK KUNYIT (TIDAK BERBUNGKUS),154,100 g,1,1,1,1,1
BARANGAN BERBUNGKUS,ROTI,ROTI GARDENIA BREAKTHRU - ROTI GANDUM PENUH,1494,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,ROTI,ROTI SANDWICH GARDENIA ORIGINAL CLASSIC,272,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,ROTI,ROTI SANDWICH MASSIMO DENGAN GERMA GANDUM,1586,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,ROTI,ROTI WHOLEMEAL (PELBAGAI JENAMA),1949,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SANTAN (KOTAK),SANTAN KELAPA JENAMA AYAM BRAND,1151,1 liter,1,1,1,1,1
BARANGAN BERBUNGKUS,SANTAN (KOTAK),SANTAN KELAPA JENAMA HARMUNI,1612,200 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,SANTAN (KOTAK),SANTAN KELAPA JENAMA KARA,1611,200 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,SANTAN (KOTAK),SANTAN KELAPA JENAMA M&S,1610,500 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),BUTTERLITE (LEPA SUSU ISTIMEWA),1829,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),JEM STRAWBERI LADY'S CHOICE,201,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),KRAFT DAIRYLEA SINGLES CHEESE 12 SLICES,2013,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),LEPAAN BUTTERCUP,1608,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),LEPAAN FARMCOWS,1607,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,203,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MARJERIN DAISY,205,480 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MARJERIN DAISY,1141,240 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MARJERIN PLANTA,206,480 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MARJERIN PLANTA,1140,240 g,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MAYONIS SEBENAR LADY'S CHOICE,1872,220ml,1,1,1,1,1
BARANGAN BERBUNGKUS,SAPUAN (SPREADS),MENTEGA KACANG HALUS LADY'S CHOICE,1144,340 g,1,1,1,1,1
